Country,Year,GDP_per_capita,Internet_users_percent,Life_expectancy,Military_expenditure_percent
Libya,2021,4935.82787349801,77.438797,72.062,1.56628172321816
Lithuania,2019,19608.7943945553,81.5818683764046,76.2829268292683,1.98419011931355
Lithuania,2020,20428.6478157394,83.05554724,75.0292682926829,2.04915558023028
Lithuania,2021,23870.4594851722,86.93054425,74.0365853658537,1.94955292042791
Luxembourg,2019,112696.649059674,97.120635693272,82.6390243902439,0.546198379988419
Luxembourg,2020,116860.02817236,98.45962893,82.1439024390244,0.578077082223964
Luxembourg,2021,134965.815442152,98.66086333,82.5975609756098,0.47124923612019
Madagascar,2019,499.818837622534,9.379400253,63.504,0.545343037675691
Madagascar,2020,450.771615201509,11.35470009,62.706,0.673153896375499
Madagascar,2021,483.469463351195,13.74590015,62.516,0.67886477563931
Malawi,2019,580.889139762475,11.05860043,64.995,0.760781549256416
Malawi,2020,602.507478176106,13.89949989,65.216,0.834281207531417
Malawi,2021,617.446994451007,15.30300045,64.782,0.730315165462018
Malaysia,2019,10920.191763972,84.1871450078281,75.9,0.893413280938052
Malaysia,2020,9957.52626697613,89.55501192,76.057,0.999653920235799
Malaysia,2021,10903.1037480772,96.7514278,73.917,0.982646998395369
Maldives,2019,11740.2724029785,77.46970367,79.707,1.56628172321816
Maldives,2020,7393.8886543933,79.09780121,78.713,1.56628172321816
Maldives,2021,10176.143882547,81.95760345,78.052,1.56628172321816
Mali,2019,971.949318638092,24.96030045,59.217,2.75271658139503
Mali,2020,953.242943290974,29.11300087,58.858,3.39955821425498
Mali,2021,1027.27345365357,33.95650101,59.116,3.38177520702573
Malta,2019,32421.9179752262,85.7785963798031,82.6585365853659,0.491258185670287
Malta,2020,31823.4363934505,86.85876183,82.0975609756098,0.527674290511624
Malta,2021,38096.8360735119,87.46977742,82.2585365853659,0.446085155562138
Mauritania,2019,1767.072710621,25.0977993,67.64,1.99633301217738
Mauritania,2020,1795.76459566714,29.90649986,66.794,2.38926918122421
Mauritania,2021,1947.78918383313,35.63660049,66.762,2.29399489807024
Mauritius,2019,11568.2533399824,61.7299551453346,74.2358536585366,0.148796738188038
Mauritius,2020,9135.84773751062,67.73290684,74.1770731707317,0.161615351006251
Mauritius,2021,9177.71195973013,71.59999847,73.680243902439,0.171377098585721
Mexico,2019,10369.5553585271,69.6321092705209,74.53,0.509337628297564
Mexico,2020,8841.27075039868,71.49017499,70.449,0.717690608258695
Mexico,2021,10314.0506722115,75.62650476,69.75,0.659404192954647
Micronesia,2019,3572.65918282222,37.97370148,66.196,1.56628172321816
Micronesia,2020,3362.02802120524,39.38330078,65.878,1.56628172321816
Micronesia,2021,3508.22314197664,39.38330078,66.152,1.56628172321816
Moldova,2019,4405.33418162155,73.32610321,70.181,0.362122379105516
Moldova,2020,4375.7788930524,74.11830139,69.914,0.385463275729941
Moldova,2021,5274.60582195352,74.91899872,68.991,0.370579924924369
Mongolia,2019,4347.54610314873,51.079994082603,71.0531707317073,0.661538119118052
Mongolia,2020,4001.25193077703,62.50002848,71.3490243902439,0.709909468541962
Mongolia,2021,4517.61578018785,81.60682285,71.6451219512195,0.619505072530135
Montenegro,2019,8749.02375172644,73.4766657478691,76.6829268292683,1.33441196432034
Montenegro,2020,7538.53635992191,77.60879306,75.9317073170732,1.73802726045562
Montenegro,2021,9317.15520065156,82.21969752,73.8243902439024,1.55528019503059
Morocco,2019,3508.09765625,84.1203630467602,74.245,2.86579837978571
Morocco,2020,3268.0302734375,84.12036305,73.133,3.97969764255599
Morocco,2021,3785.93627929688,88.13031937,73.385,3.74975618124605
Mozambique,2019,519.09255091362,12.47929955,61.306,1.38807982041907
Mozambique,2020,462.433876479921,14.28740025,61.39,2.02272611905463
Mozambique,2021,509.907829475551,16.35759926,60.268,1.91141353069573
Myanmar,2019,1425.98954241668,36.54050064,66.457,2.18974000019248
Myanmar,2020,1490.21683599469,45.4477005,66.612,3.12332883859715
Myanmar,2021,1242.7213439951,45.4477005,65.553,4.07092298980473
Namibia,2019,4731.9210318831,49.77590179,63.546,3.29742631401913
Namibia,2020,3878.58982993966,57.8608017,64.071,3.48015259214476
Namibia,2021,4412.8355693052,60.25999832,60.85,3.2264092268075
